#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|         ./3.0.CLMRG_dataset.raw|  1.57e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.79565875|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.47487096|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.93892100|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.63811892|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.93384732|  PASSED  
        diehard_opso|   0|   2097152|     100|0.04282169|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.76312611|  PASSED  
         diehard_dna|   0|   2097152|     100|0.36272007|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.40431935|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.01666651|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.14887474|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.14788310|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.92929119|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.95153012|  PASSED  
        diehard_sums|   0|       100|     100|0.00877518|  PASSED  
        diehard_runs|   0|    100000|     100|0.59687240|  PASSED  
        diehard_runs|   0|    100000|     100|0.91715253|  PASSED  
       diehard_craps|   0|    200000|     100|0.95710292|  PASSED  
       diehard_craps|   0|    200000|     100|0.73272833|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.87356701|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.81353630|  PASSED  
         sts_monobit|   1|    100000|     100|0.80361368|  PASSED  
            sts_runs|   2|    100000|     100|0.61965573|  PASSED  
          sts_serial|   1|    100000|     100|0.96237983|  PASSED  
          sts_serial|   2|    100000|     100|0.65903787|  PASSED  
          sts_serial|   3|    100000|     100|0.70065126|  PASSED  
          sts_serial|   3|    100000|     100|0.96807593|  PASSED  
          sts_serial|   4|    100000|     100|0.78416951|  PASSED  
          sts_serial|   4|    100000|     100|0.97249148|  PASSED  
          sts_serial|   5|    100000|     100|0.21690941|  PASSED  
          sts_serial|   5|    100000|     100|0.41679128|  PASSED  
          sts_serial|   6|    100000|     100|0.38404214|  PASSED  
          sts_serial|   6|    100000|     100|0.93475966|  PASSED  
          sts_serial|   7|    100000|     100|0.65950914|  PASSED  
          sts_serial|   7|    100000|     100|0.67679122|  PASSED  
          sts_serial|   8|    100000|     100|0.65583523|  PASSED  
          sts_serial|   8|    100000|     100|0.24402894|  PASSED  
          sts_serial|   9|    100000|     100|0.85769049|  PASSED  
          sts_serial|   9|    100000|     100|0.59145746|  PASSED  
          sts_serial|  10|    100000|     100|0.66727938|  PASSED  
          sts_serial|  10|    100000|     100|0.45586823|  PASSED  
          sts_serial|  11|    100000|     100|0.36543896|  PASSED  
          sts_serial|  11|    100000|     100|0.92206403|  PASSED  
          sts_serial|  12|    100000|     100|0.54815996|  PASSED  
          sts_serial|  12|    100000|     100|0.68530571|  PASSED  
          sts_serial|  13|    100000|     100|0.43447714|  PASSED  
