#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|           ./6.0.bbs_dataset.raw|  1.50e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.17299378|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.17324124|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.85361530|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.35318671|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.29517039|  PASSED  
        diehard_opso|   0|   2097152|     100|0.91725288|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.12170039|  PASSED  
         diehard_dna|   0|   2097152|     100|0.46141907|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.62989147|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.85335358|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.90953203|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.13677792|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.76596796|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.74445386|  PASSED  
        diehard_sums|   0|       100|     100|0.06183169|  PASSED  
        diehard_runs|   0|    100000|     100|0.49057334|  PASSED  
        diehard_runs|   0|    100000|     100|0.99074535|  PASSED  
       diehard_craps|   0|    200000|     100|0.91769212|  PASSED  
       diehard_craps|   0|    200000|     100|0.91791637|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.62484945|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.28711756|  PASSED  
         sts_monobit|   1|    100000|     100|0.07938748|  PASSED  
            sts_runs|   2|    100000|     100|0.12962310|  PASSED  
          sts_serial|   1|    100000|     100|0.99990792|   WEAK   
          sts_serial|   2|    100000|     100|0.29551708|  PASSED  
          sts_serial|   3|    100000|     100|0.34843997|  PASSED  
          sts_serial|   3|    100000|     100|0.97773521|  PASSED  
          sts_serial|   4|    100000|     100|0.90084459|  PASSED  
          sts_serial|   4|    100000|     100|0.99386180|  PASSED  
          sts_serial|   5|    100000|     100|0.57290751|  PASSED  
          sts_serial|   5|    100000|     100|0.53246761|  PASSED  
          sts_serial|   6|    100000|     100|0.84471385|  PASSED  
